Number of threads is 25.
generating random projection
output path ../h5_projected/g1040_0016_binary_search_10000_ran is not exist, create output path.
rank  9, cnt =   31
rank  8, cnt =   34
rank  5, cnt =   33
rank  6, cnt =   32
rank  3, cnt =   32
rank 17, cnt =   31
rank 16, cnt =   30
rank 15, cnt =   28
rank  0, cnt =   28
rank 21, cnt =   32
rank 13, cnt =   30
rank 10, cnt =   32
rank 23, cnt =   33
rank 11, cnt =   34
rank 20, cnt =   33
rank 22, cnt =   30
rank 07, saving output file r07_01_mcf.h5
rank 18, cnt =   28
rank 24, cnt =   31
rank  2, cnt =   29
rank 14, cnt =   31
rank  1, cnt =   35
rank  4, cnt =   34
rank  8, cnt =   35
rank 19, cnt =   34
rank  7, cnt =   26
rank 17, cnt =   32
rank  5, cnt =   34
rank  6, cnt =   33
rank 12, cnt =   31
rank 16, cnt =   31
rank  0, cnt =   29
rank  9, cnt =   32
rank 15, cnt =   29
rank 10, cnt =   33
rank 23, cnt =   34
rank 11, cnt =   35
rank 13, cnt =   31
rank 20, cnt =   34
rank  3, cnt =   33
rank 18, cnt =   29
rank 22, cnt =   31
rank  2, cnt =   30
rank 14, cnt =   32
rank 21, cnt =   33
rank  1, cnt =   36
rank  8, cnt =   36
rank 24, cnt =   32
rank 19, cnt =   35
rank 17, cnt =   33
rank  5, cnt =   35
rank 16, cnt =   32
rank  6, cnt =   34
rank  0, cnt =   30
rank 15, cnt =   30
rank  7, cnt =   27
rank 13, cnt =   32
rank 23, cnt =   35
rank 10, cnt =   34
rank  4, cnt =   35
rank 11, cnt =   36
rank 20, cnt =   35
rank 12, cnt =   32
rank  3, cnt =   34
rank 18, cnt =   30
rank 22, cnt =   32
rank  9, cnt =   33
rank 14, cnt =   33
rank  1, cnt =   37
rank  2, cnt =   31
rank  8, cnt =   37
rank 19, cnt =   36
rank 21, cnt =   34
rank  5, cnt =   36
rank 16, cnt =   33
rank  0, cnt =   31
rank 15, cnt =   31
rank 24, cnt =   33
rank 23, cnt =   36
rank  6, cnt =   35
rank 13, cnt =   33
rank  7, cnt =   28
rank 17, cnt =   34
rank 11, cnt =   37
rank 20, cnt =   36
rank  3, cnt =   35
rank 18, cnt =   31
rank 22, cnt =   33
rank 10, cnt =   35
rank 12, cnt =   33
rank 14, cnt =   34
rank  1, cnt =   38
rank  8, cnt =   38
rank  2, cnt =   32
rank  9, cnt =   34
rank 19, cnt =   37
rank  4, cnt =   36
rank  5, cnt =   37
rank 16, cnt =   34
rank  0, cnt =   32
rank 23, cnt =   37
rank 15, cnt =   32
rank  6, cnt =   36
rank 11, cnt =   38
rank 20, cnt =   37
rank 21, cnt =   35
rank  3, cnt =   36
rank 13, cnt =   34
rank  7, cnt =   29
rank 18, cnt =   32
rank 22, cnt =   34
rank 24, cnt =   34
rank 14, cnt =   35
rank 17, cnt =   35
rank  8, cnt =   39
rank  1, cnt =   39
rank  2, cnt =   33
rank 10, cnt =   36
rank 12, cnt =   34
rank 19, cnt =   38
rank  5, cnt =   38
rank 16, cnt =   35
rank  0, cnt =   33
rank 23, cnt =   38
rank  9, cnt =   35
rank 15, cnt =   33
rank  6, cnt =   37
rank 20, cnt =   38
rank  3, cnt =   37
rank 18, cnt =   33
rank  7, cnt =   30
rank 13, cnt =   35
rank  4, cnt =   37
rank 22, cnt =   35
rank 11, cnt =   39
rank 14, cnt =   36
rank 21, cnt =   36
rank  1, cnt =   40
rank  8, cnt =   40
rank  2, cnt =   34
rank 24, cnt =   35
rank  5, cnt =   39
rank 17, cnt =   36
rank 19, cnt =   39
rank  0, cnt =   34
rank 23, cnt =   39
rank  9, cnt =   36
rank 15, cnt =   34
rank 10, cnt =   37
rank 12, cnt =   35
rank 20, cnt =   39
rank 16, cnt =   36
rank  6, cnt =   38
rank  3, cnt =   38
rank 13, cnt =   36
rank 18, cnt =   34
rank  7, cnt =   31
rank 22, cnt =   36
rank  4, cnt =   38
rank  1, cnt =   41
rank 14, cnt =   37
rank  8, cnt =   41
rank 11, cnt =   40
rank  2, cnt =   35
rank  5, cnt =   40
rank 21, cnt =   37
rank 19, cnt =   40
rank 15, cnt =   35
rank  0, cnt =   35
rank 17, cnt =   37
rank 23, cnt =   40
rank  9, cnt =   37
rank 24, cnt =   36
rank 20, cnt =   40
rank  3, cnt =   39
rank 22, cnt =   37
rank 13, cnt =   37
rank  6, cnt =   39
rank  7, cnt =   32
rank 18, cnt =   35
rank  1, cnt =   42
rank  4, cnt =   39
rank 12, cnt =   36
rank 10, cnt =   38
rank 16, cnt =   37
rank  8, cnt =   42
rank 14, cnt =   38
rank  5, cnt =   41
rank  2, cnt =   36
rank 15, cnt =   36
rank  0, cnt =   36
rank 11, cnt =   41
rank 19, cnt =   41
rank 20, cnt =   41
rank 23, cnt =   41
rank  9, cnt =   38
rank 24, cnt =   37
rank 21, cnt =   38
rank 22, cnt =   38
rank  3, cnt =   40
rank 13, cnt =   38
rank  7, cnt =   33
rank 18, cnt =   36
rank 17, cnt =   38
rank  1, cnt =   43
rank  4, cnt =   40
rank 14, cnt =   39
rank 10, cnt =   39
rank  8, cnt =   43
rank  6, cnt =   40
rank 12, cnt =   37
rank 16, cnt =   38
rank  5, cnt =   42
rank 15, cnt =   37
rank  0, cnt =   37
rank 19, cnt =   42
rank 20, cnt =   42
rank  2, cnt =   37
rank  9, cnt =   39
rank 24, cnt =   38
rank 22, cnt =   39
rank 23, cnt =   42
rank 21, cnt =   39
rank  1, cnt =   44
rank 13, cnt =   39
rank  7, cnt =   34
rank 18, cnt =   37
rank 10, cnt =   40
rank 14, cnt =   40
rank  4, cnt =   41
rank  8, cnt =   44
rank  3, cnt =   41
rank 11, cnt =   42
rank 17, cnt =   39
rank  5, cnt =   43
rank  6, cnt =   41
rank  0, cnt =   38
rank 15, cnt =   38
rank 20, cnt =   43
rank 16, cnt =   39
rank 12, cnt =   38
rank 19, cnt =   43
rank  9, cnt =   40
rank 22, cnt =   40
rank 23, cnt =   43
rank 24, cnt =   39
rank  1, cnt =   45
rank  7, cnt =   35
rank 21, cnt =   40
rank 18, cnt =   38
rank  2, cnt =   38
rank 13, cnt =   40
rank 10, cnt =   41
rank 14, cnt =   41
rank  4, cnt =   42
rank  8, cnt =   45
rank  5, cnt =   44
rank 17, cnt =   40
rank  3, cnt =   42
rank  0, cnt =   39
rank  6, cnt =   42
rank 20, cnt =   44
rank 19, cnt =   44
rank 22, cnt =   41
rank 11, cnt =   43
rank  9, cnt =   41
rank  1, cnt =   46
rank 24, cnt =   40
rank 23, cnt =   44
rank 21, cnt =   41
rank 15, cnt =   39
rank 16, cnt =   40
rank 18, cnt =   39
rank  2, cnt =   39
rank 12, cnt =   39
rank 13, cnt =   41
rank  7, cnt =   36
rank 10, cnt =   42
rank  4, cnt =   43
